"Facility ID","Measure ID","Value","Footnote","Start Date","End Date"
030055,MSPB-1,0.846683,,01/01/2023,12/31/2023
030061,MSPB-1,0.995685,,01/01/2023,12/31/2023
030062,MSPB-1,0.896648,,01/01/2023,12/31/2023
030064,MSPB-1,0.985978,,01/01/2023,12/31/2023
030065,MSPB-1,1.043230,,01/01/2023,12/31/2023
030069,MSPB-1,0.931285,,01/01/2023,12/31/2023
030071,MSPB-1,0.862719,,01/01/2023,12/31/2023
030073,MSPB-1,0.791225,,01/01/2023,12/31/2023
030074,MSPB-1,N/A,1,01/01/2023,12/31/2023
030078,MSPB-1,0.813212,,01/01/2023,12/31/2023
030083,MSPB-1,0.947594,,01/01/2023,12/31/2023
030084,MSPB-1,0.648229,,01/01/2023,12/31/2023
030085,MSPB-1,1.045538,,01/01/2023,12/31/2023
030087,MSPB-1,0.981843,,01/01/2023,12/31/2023
030088,MSPB-1,1.034506,,01/01/2023,12/31/2023
030089,MSPB-1,1.054246,,01/01/2023,12/31/2023
030092,MSPB-1,1.028797,,01/01/2023,12/31/2023
030093,MSPB-1,0.949688,,01/01/2023,12/31/2023
030094,MSPB-1,1.011089,,01/01/2023,12/31/2023
030101,MSPB-1,0.907494,,01/01/2023,12/31/2023
030103,MSPB-1,0.958514,,01/01/2023,12/31/2023
030105,MSPB-1,1.007451,,01/01/2023,12/31/2023
030107,MSPB-1,0.813659,,01/01/2023,12/31/2023
030108,MSPB-1,0.883457,,01/01/2023,12/31/2023
030110,MSPB-1,1.008393,,01/01/2023,12/31/2023
030111,MSPB-1,0.939954,,01/01/2023,12/31/2023
030112,MSPB-1,0.910788,,01/01/2023,12/31/2023
030113,MSPB-1,0.622333,,01/01/2023,12/31/2023
030114,MSPB-1,0.950885,,01/01/2023,12/31/2023
030115,MSPB-1,0.975178,,01/01/2023,12/31/2023
030117,MSPB-1,0.834868,,01/01/2023,12/31/2023
030119,MSPB-1,1.033377,,01/01/2023,12/31/2023
030121,MSPB-1,0.934844,,01/01/2023,12/31/2023
030122,MSPB-1,0.988068,,01/01/2023,12/31/2023
030123,MSPB-1,0.933414,,01/01/2023,12/31/2023
030130,MSPB-1,0.882480,,01/01/2023,12/31/2023
030131,MSPB-1,0.901831,,01/01/2023,12/31/2023
030134,MSPB-1,0.811952,,01/01/2023,12/31/2023
030136,MSPB-1,0.883822,,01/01/2023,12/31/2023
030138,MSPB-1,1.030928,,01/01/2023,12/31/2023
030139,MSPB-1,1.022042,,01/01/2023,12/31/2023
030146,MSPB-1,0.954855,,01/01/2023,12/31/2023
030147,MSPB-1,0.967831,,01/01/2023,12/31/2023
030148,MSPB-1,0.955369,,01/01/2023,12/31/2023
030152,MSPB-1,N/A,1,01/01/2023,12/31/2023
030153,MSPB-1,N/A,1,01/01/2023,12/31/2023
030154,MSPB-1,0.915638,,01/01/2023,12/31/2023
040001,MSPB-1,0.972943,,01/01/2023,12/31/2023
040002,MSPB-1,0.928325,,01/01/2023,12/31/2023
040004,MSPB-1,1.013340,,01/01/2023,12/31/2023
040007,MSPB-1,1.036470,,01/01/2023,12/31/2023
040010,MSPB-1,0.997781,,01/01/2023,12/31/2023
040011,MSPB-1,0.891638,,01/01/2023,12/31/2023
040014,MSPB-1,1.043466,,01/01/2023,12/31/2023
040015,MSPB-1,1.034126,,01/01/2023,12/31/2023
040016,MSPB-1,0.993486,,01/01/2023,12/31/2023
040017,MSPB-1,1.012466,,01/01/2023,12/31/2023
040018,MSPB-1,N/A,1,01/01/2023,12/31/2023
040019,MSPB-1,0.956284,,01/01/2023,12/31/2023
040020,MSPB-1,1.090527,,01/01/2023,12/31/2023
040022,MSPB-1,1.053567,,01/01/2023,12/31/2023
040026,MSPB-1,1.123948,,01/01/2023,12/31/2023
040027,MSPB-1,0.996179,,01/01/2023,12/31/2023
040029,MSPB-1,1.039692,,01/01/2023,12/31/2023
040036,MSPB-1,1.042641,,01/01/2023,12/31/2023
040039,MSPB-1,1.123540,,01/01/2023,12/31/2023
040041,MSPB-1,1.012648,,01/01/2023,12/31/2023
040050,MSPB-1,1.105951,,01/01/2023,12/31/2023
040051,MSPB-1,0.963479,,01/01/2023,12/31/2023
040055,MSPB-1,1.084823,,01/01/2023,12/31/2023
040062,MSPB-1,1.091496,,01/01/2023,12/31/2023
040067,MSPB-1,1.182598,,01/01/2023,12/31/2023
040069,MSPB-1,1.103439,,01/01/2023,12/31/2023
040071,MSPB-1,1.120169,,01/01/2023,12/31/2023
040072,MSPB-1,0.946422,,01/01/2023,12/31/2023
040076,MSPB-1,1.077553,,01/01/2023,12/31/2023
040078,MSPB-1,1.210426,,01/01/2023,12/31/2023
040084,MSPB-1,1.049547,,01/01/2023,12/31/2023
040088,MSPB-1,1.084152,,01/01/2023,12/31/2023
040114,MSPB-1,1.066715,,01/01/2023,12/31/2023
040118,MSPB-1,1.007124,,01/01/2023,12/31/2023
040119,MSPB-1,1.041828,,01/01/2023,12/31/2023
040134,MSPB-1,0.953821,,01/01/2023,12/31/2023
040137,MSPB-1,1.127231,,01/01/2023,12/31/2023
040147,MSPB-1,0.896017,,01/01/2023,12/31/2023
040153,MSPB-1,1.167315,,01/01/2023,12/31/2023
040154,MSPB-1,1.012091,,01/01/2023,12/31/2023
040156,MSPB-1,0.959055,,01/01/2023,12/31/2023
040161,MSPB-1,0.965340,,01/01/2023,12/31/2023
040164,MSPB-1,N/A,1,01/01/2023,12/31/2023
050002,MSPB-1,1.042644,,01/01/2023,12/31/2023
050006,MSPB-1,0.954129,,01/01/2023,12/31/2023
050007,MSPB-1,0.981265,,01/01/2023,12/31/2023
050008,MSPB-1,0.968356,,01/01/2023,12/31/2023
050009,MSPB-1,0.937142,,01/01/2023,12/31/2023
050013,MSPB-1,1.092561,,01/01/2023,12/31/2023
050014,MSPB-1,0.952897,,01/01/2023,12/31/2023
050017,MSPB-1,0.971010,,01/01/2023,12/31/2023
050022,MSPB-1,1.061151,,01/01/2023,12/31/2023
050024,MSPB-1,1.051165,,01/01/2023,12/31/2023
050025,MSPB-1,1.015860,,01/01/2023,12/31/2023
050026,MSPB-1,1.043939,,01/01/2023,12/31/2023
050028,MSPB-1,0.857012,,01/01/2023,12/31/2023
050030,MSPB-1,0.892883,,01/01/2023,12/31/2023
050036,MSPB-1,1.059913,,01/01/2023,12/31/2023
050038,MSPB-1,1.017890,,01/01/2023,12/31/2023
050039,MSPB-1,0.966351,,01/01/2023,12/31/2023
050040,MSPB-1,0.851978,,01/01/2023,12/31/2023
050042,MSPB-1,0.962800,,01/01/2023,12/31/2023
050043,MSPB-1,1.011261,,01/01/2023,12/31/2023
050045,MSPB-1,0.937533,,01/01/2023,12/31/2023
050047,MSPB-1,0.974761,,01/01/2023,12/31/2023
050054,MSPB-1,1.059984,,01/01/2023,12/31/2023
050055,MSPB-1,0.964776,,01/01/2023,12/31/2023
050056,MSPB-1,1.023515,,01/01/2023,12/31/2023
050057,MSPB-1,1.019236,,01/01/2023,12/31/2023
050058,MSPB-1,1.137312,,01/01/2023,12/31/2023
050060,MSPB-1,1.014772,,01/01/2023,12/31/2023
050063,MSPB-1,1.137567,,01/01/2023,12/31/2023
050067,MSPB-1,0.877552,,01/01/2023,12/31/2023
050069,MSPB-1,0.990257,,01/01/2023,12/31/2023
050070,MSPB-1,0.863745,,01/01/2023,12/31/2023
050071,MSPB-1,0.988841,,01/01/2023,12/31/2023
050072,MSPB-1,0.873899,,01/01/2023,12/31/2023
050073,MSPB-1,0.940928,,01/01/2023,12/31/2023
050075,MSPB-1,0.916633,,01/01/2023,12/31/2023
050076,MSPB-1,0.822348,,01/01/2023,12/31/2023
050077,MSPB-1,1.016656,,01/01/2023,12/31/2023
050078,MSPB-1,1.001746,,01/01/2023,12/31/2023
050082,MSPB-1,1.006937,,01/01/2023,12/31/2023
050084,MSPB-1,1.012778,,01/01/2023,12/31/2023
050089,MSPB-1,1.143159,,01/01/2023,12/31/2023
050090,MSPB-1,0.998555,,01/01/2023,12/31/2023
050091,MSPB-1,1.047129,,01/01/2023,12/31/2023
050093,MSPB-1,0.992278,,01/01/2023,12/31/2023
050099,MSPB-1,1.032617,,01/01/2023,12/31/2023
050100,MSPB-1,0.980564,,01/01/2023,12/31/2023
050101,MSPB-1,0.967102,,01/01/2023,12/31/2023
050102,MSPB-1,1.254146,,01/01/2023,12/31/2023
050103,MSPB-1,0.996294,,01/01/2023,12/31/2023
050104,MSPB-1,1.083106,,01/01/2023,12/31/2023
050107,MSPB-1,0.935658,,01/01/2023,12/31/2023
050108,MSPB-1,0.983468,,01/01/2023,12/31/2023
050110,MSPB-1,1.106109,,01/01/2023,12/31/2023
050112,MSPB-1,1.020428,,01/01/2023,12/31/2023
050113,MSPB-1,0.967549,,01/01/2023,12/31/2023
050115,MSPB-1,1.105008,,01/01/2023,12/31/2023
050116,MSPB-1,1.096728,,01/01/2023,12/31/2023
050118,MSPB-1,1.012510,,01/01/2023,12/31/2023
050121,MSPB-1,0.984156,,01/01/2023,12/31/2023
050122,MSPB-1,0.973043,,01/01/2023,12/31/2023
050124,MSPB-1,1.011836,,01/01/2023,12/31/2023
050125,MSPB-1,0.988499,,01/01/2023,12/31/2023
050126,MSPB-1,1.159389,,01/01/2023,12/31/2023
050127,MSPB-1,0.913186,,01/01/2023,12/31/2023
050128,MSPB-1,1.033061,,01/01/2023,12/31/2023
050129,MSPB-1,1.053972,,01/01/2023,12/31/2023
050131,MSPB-1,0.944128,,01/01/2023,12/31/2023
050132,MSPB-1,1.206233,,01/01/2023,12/31/2023
050133,MSPB-1,0.991660,,01/01/2023,12/31/2023
050135,MSPB-1,1.298377,,01/01/2023,12/31/2023
050136,MSPB-1,1.021285,,01/01/2023,12/31/2023
050137,MSPB-1,0.837875,,01/01/2023,12/31/2023
050138,MSPB-1,0.922284,,01/01/2023,12/31/2023
050139,MSPB-1,0.914768,,01/01/2023,12/31/2023
050140,MSPB-1,0.924634,,01/01/2023,12/31/2023
050145,MSPB-1,0.944991,,01/01/2023,12/31/2023
050149,MSPB-1,0.976942,,01/01/2023,12/31/2023
050150,MSPB-1,0.970333,,01/01/2023,12/31/2023
050152,MSPB-1,1.060912,,01/01/2023,12/31/2023
050158,MSPB-1,1.174864,,01/01/2023,12/31/2023
050159,MSPB-1,0.957728,,01/01/2023,12/31/2023
050167,MSPB-1,1.010619,,01/01/2023,12/31/2023
050168,MSPB-1,1.053396,,01/01/2023,12/31/2023
050169,MSPB-1,1.012907,,01/01/2023,12/31/2023
050174,MSPB-1,1.012751,,01/01/2023,12/31/2023
050179,MSPB-1,0.910776,,01/01/2023,12/31/2023
050180,MSPB-1,0.976706,,01/01/2023,12/31/2023
050191,MSPB-1,1.103404,,01/01/2023,12/31/2023
050192,MSPB-1,1.103950,,01/01/2023,12/31/2023
050194,MSPB-1,0.974217,,01/01/2023,12/31/2023
050195,MSPB-1,1.011536,,01/01/2023,12/31/2023
050197,MSPB-1,0.948828,,01/01/2023,12/31/2023
050204,MSPB-1,1.016802,,01/01/2023,12/31/2023
050211,MSPB-1,0.999423,,01/01/2023,12/31/2023
050222,MSPB-1,0.955883,,01/01/2023,12/31/2023
050224,MSPB-1,1.013726,,01/01/2023,12/31/2023
050226,MSPB-1,1.099221,,01/01/2023,12/31/2023
050228,MSPB-1,0.937718,,01/01/2023,12/31/2023
050230,MSPB-1,1.158034,,01/01/2023,12/31/2023
