https://data.cms.gov/provider-data/ location affected,Downloadable CSV revised file affected,Data Last Updated,Data Last Updated Details
https://data.cms.gov/provider-data/dataset/yizn-abxn,Outpatient and Ambulatory Surgery Consumer Assessment of Healthcare Providers and Systems (OAS CAHPS) survey for hospital outpatient departments - Facility,6-Aug-25,Data refeshed; Open/Closed List applied
https://data.cms.gov/provider-data/dataset/s5pj-hua3,Outpatient and Ambulatory Surgery Consumer Assessment of Healthcare Providers and Systems (OAS CAHPS) survey for hospital outpatient departments - National,6-Aug-25,Data refeshed; Open/Closed List applied
https://data.cms.gov/provider-data/dataset/6pfg-whmx,Outpatient and Ambulatory Surgery Consumer Assessment of Healthcare Providers and Systems (OAS CAHPS) survey for hospital outpatient departments - State,6-Aug-25,Data refeshed; Open/Closed List applied
https://data.cms.gov/provider-data/dataset/wkfw-kthe,Outpatient Imaging Efficiency - Hospital,6-Aug-25,Data refeshed; Open/Closed List applied
https://data.cms.gov/provider-data/dataset/di9i-zzrc,Outpatient Imaging Efficiency - National,6-Aug-25,Data refeshed; Open/Closed List applied
https://data.cms.gov/provider-data/dataset/if5v-4x48,Outpatient Imaging Efficiency - State,6-Aug-25,Data refeshed; Open/Closed List applied
https://data.cms.gov/provider-data/dataset/qoeg-w7ck,Palliative Care - PPS-Exempt Cancer Hospital-Hospital,6-Aug-25,Data refeshed; Open/Closed List applied
https://data.cms.gov/provider-data/dataset/qigt-w5cx,Palliative Care - PPS-Exempt Cancer Hospital-National,6-Aug-25,Data refeshed; Open/Closed List applied
https://data.cms.gov/provider-data/dataset/mxtu-43qs,Patient Reported Outcomes,6-Aug-25,Data refeshed; Open/Closed List applied
https://data.cms.gov/provider-data/dataset/dgck-syfz,Patient survey (HCAHPS) - Hospital,6-Aug-25,Data refeshed; Open/Closed List applied
https://data.cms.gov/provider-data/dataset/99ue-w85f,Patient survey (HCAHPS)  - National.csv,6-Aug-25,Data refeshed; Open/Closed List applied
https://data.cms.gov/provider-data/dataset/84jm-wiui,Patient survey (HCAHPS) - State.csv,6-Aug-25,Data refeshed; Open/Closed List applied
https://data.cms.gov/provider-data/dataset/iy27-wz37,Patient Survey (PCH - HCAHPS) PPS-exempt Cancer Hospital - Hospital,6-Aug-25,Data refreshed
https://data.cms.gov/provider-data/dataset/9g7e-btyt,Patient Survey (PCH - HCAHPS) PPS-exempt Cancer Hospital - National,6-Aug-25,Data refreshed
https://data.cms.gov/provider-data/dataset/qatj-nmws,Patient Survey (PCH - HCAHPS) PPS-exempt Cancer Hospital - State,6-Aug-25,Data refreshed
https://data.cms.gov/provider-data/dataset/c7us-v4mf,Payment and Value of Care - Hospital,6-Aug-25,"Retired dataset; All measures retired: PAYM-30-AMI, PAYM-30-HF, PAYM-30-PM, and PAYM-90-HIP-KNEE"
https://data.cms.gov/provider-data/dataset/ygty-mm5a,Payment - National,6-Aug-25,"Retired dataset; All measures retired: PAYM-30-AMI, PAYM-30-HF, PAYM-30-PM, and PAYM-90-HIP-KNEE"
https://data.cms.gov/provider-data/dataset/98ix-2iqy,Payment - State,6-Aug-25,"Retired dataset; All measures retired: PAYM-30-AMI, PAYM-30-HF, PAYM-30-PM, and PAYM-90-HIP-KNEE"
https://data.cms.gov/provider-data/dataset/f4ga-b9gx,Promoting Interoperability,6-Aug-25,No updates
https://data.cms.gov/provider-data/dataset/muwa-iene,PSI 90 and Component Measures - Six-Digit Precision,6-Aug-25,No updates; Open/Closed applied
https://data.cms.gov/provider-data/dataset/k653-4ka8,Safety and Healthcare-Associated Infection Measures - PPS-Exempt Cancer Hospital,6-Aug-25,Data refreshed except for PCH-28
https://data.cms.gov/provider-data/dataset/5gv4-jwyv,Table 1: FY2021 Net Change in Base Operating DRG Payment Amount,6-Aug-25,No updates
https://data.cms.gov/provider-data/dataset/xrgf-x36b,Table 2: FY2021 Distribution of Net Change in Base Operating DRG Payment Amount,6-Aug-25,No updates
https://data.cms.gov/provider-data/dataset/u625-zae7,Table 3: FY2021 Percent Change in Medicare Payments,6-Aug-25,No updates
https://data.cms.gov/provider-data/dataset/vtqa-m4zn,Table 4: FY2021 Value-Based Incentive Payment Amount,6-Aug-25,No updates
https://data.cms.gov/provider-data/dataset/yv7e-xc69,Timely and Effective care - Hospital,6-Aug-25,"Data refreshed for OP-18b,OP-23, SEP-1, SEP-SH-3HR, SEP-SH-6HR, SEV-SEP-3HR, SEV-SEP-6HR, and OP-18c; DoD refreshed OP-18b, OP-23, and SEP-1 data; Open/Closed List applied"
https://data.cms.gov/provider-data/dataset/isrn-hqyy,Timely and Effective Care - National,6-Aug-25,"Data refreshed for OP-18b,OP-23, SEP-1, SEP-SH-3HR, SEP-SH-6HR, SEV-SEP-3HR, SEV-SEP-6HR, and OP-18c; DoD refreshed OP-18b, OP-23, and SEP-1 data; Open/Closed List applied"
https://data.cms.gov/provider-data/dataset/apyc-v239,Timely and Effective Care - State,6-Aug-25,"Data refreshed for OP-18b,OP-23, SEP-1, SEP-SH-3HR, SEP-SH-6HR, SEV-SEP-3HR, SEV-SEP-6HR, and OP-18c; DoD refreshed OP-18b, OP-23, and SEP-1 data; Open/Closed List applied"
