"State","HBIPS-2 Measure Description","S HBIPS-2 Overall Rate Per 1000","S HBIPS-2 Overall Num","S HBIPS-2 Overall Den","HBIPS-3 Measure Description","S HBIPS-3 Overall Rate Per 1000","S HBIPS-3 Overall Num","S HBIPS-3 Overall Den","SMD Measure Description","S SMD %","SUB-2/-2a Measure Description","S SUB-2 %","S SUB-2a %","SUB-3/-3a Measure Description","S SUB-3 %","S SUB-3a %","TOB-3/-3a Measure Description","S TOB-3 %","S TOB-3a %","TR-1 Measure Description","S TR-1 %","Start Date","End Date","FAPH Measure Description","S FAPH-30 %","S FAPH-7 %","FAPH Measure Start Date","FAPH Measure End Date","MedCont Measure Description","S MedCont %","MedCont Measure Start Date","MedCont Measure End Date","READM-30-IPF Measure Desc","S READM-30-IPF # IPFs Worse","S READM-30-IPF # IPFs Same","S READM-30-IPF # IPFs Better","S READM-30-IPF # IPFs Too Few","READM-30-IPF Start Date","READM-30-IPF End Date","IMM-2 Measure Description","S IMM-2 %","Flu Season Start Date","Flu Season End Date"
KS,Hours of physical-restraint use,0.20,498.19,104660,Hours of seclusion use,0.17,439.35,104660,Screening for metabolic disorders (SMD),71,Alcohol use brief intervention provided or offered,38,71,Alcohol and other drug use disorder treatment provided or offered at discharge,56,46,Tobacco use treatment provided or offered at discharge,42,2,Transition record with specified elements received by discharged patients (TR1),61,01/01/2023,12/31/2023,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,66,40.6,07/01/2022,06/30/2023,Medication Continuation Following Inpatient Psychiatric Discharge,77.5,07/01/2021,06/30/2023,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),0,16,1,0,07/01/2021,06/30/2023,Influenza immunization (IPFQR-IMM-2),87,10/01/2023,03/31/2024
KY,Hours of physical-restraint use,0.36,3092.74,359477,Hours of seclusion use,0.09,797.78,359477,Screening for metabolic disorders (SMD),91,Alcohol use brief intervention provided or offered,72,84,Alcohol and other drug use disorder treatment provided or offered at discharge,82,62,Tobacco use treatment provided or offered at discharge,66,14,Transition record with specified elements received by discharged patients (TR1),81,01/01/2023,12/31/2023,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,55.6,28.7,07/01/2022,06/30/2023,Medication Continuation Following Inpatient Psychiatric Discharge,81.3,07/01/2021,06/30/2023,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),0,29,0,1,07/01/2021,06/30/2023,Influenza immunization (IPFQR-IMM-2),83,10/01/2023,03/31/2024
LA,Hours of physical-restraint use,0.11,2292.44,881798,Hours of seclusion use,0.11,2408.44,881798,Screening for metabolic disorders (SMD),83,Alcohol use brief intervention provided or offered,54,81,Alcohol and other drug use disorder treatment provided or offered at discharge,71,57,Tobacco use treatment provided or offered at discharge,61,13,Transition record with specified elements received by discharged patients (TR1),69,01/01/2023,12/31/2023,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,51.2,32.1,07/01/2022,06/30/2023,Medication Continuation Following Inpatient Psychiatric Discharge,79.3,07/01/2021,06/30/2023,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),5,66,1,5,07/01/2021,06/30/2023,Influenza immunization (IPFQR-IMM-2),80,10/01/2023,03/31/2024
MA,Hours of physical-restraint use,0.27,6807.88,1054829,Hours of seclusion use,0.09,2274.17,1054829,Screening for metabolic disorders (SMD),79,Alcohol use brief intervention provided or offered,71,79,Alcohol and other drug use disorder treatment provided or offered at discharge,78,64,Tobacco use treatment provided or offered at discharge,56,7,Transition record with specified elements received by discharged patients (TR1),71,01/01/2023,12/31/2023,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,72.4,45.2,07/01/2022,06/30/2023,Medication Continuation Following Inpatient Psychiatric Discharge,80.3,07/01/2021,06/30/2023,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),3,45,0,3,07/01/2021,06/30/2023,Influenza immunization (IPFQR-IMM-2),74,10/01/2023,03/31/2024
MD,Hours of physical-restraint use,0.44,4326.66,412375,Hours of seclusion use,0.29,2898.79,412375,Screening for metabolic disorders (SMD),16,Alcohol use brief intervention provided or offered,76,75,Alcohol and other drug use disorder treatment provided or offered at discharge,66,53,Tobacco use treatment provided or offered at discharge,84,3,Transition record with specified elements received by discharged patients (TR1),60,01/01/2023,12/31/2023,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,69.8,43.6,07/01/2022,06/30/2023,Medication Continuation Following Inpatient Psychiatric Discharge,79.7,07/01/2021,06/30/2023,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),0,3,0,4,07/01/2021,06/30/2023,Influenza immunization (IPFQR-IMM-2),68,10/01/2023,03/31/2024
ME,Hours of physical-restraint use,0.32,853.61,111025,Hours of seclusion use,0.48,1288.38,111025,Screening for metabolic disorders (SMD),90,Alcohol use brief intervention provided or offered,88,85,Alcohol and other drug use disorder treatment provided or offered at discharge,58,43,Tobacco use treatment provided or offered at discharge,31,5,Transition record with specified elements received by discharged patients (TR1),84,01/01/2023,12/31/2023,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,69.9,42.8,07/01/2022,06/30/2023,Medication Continuation Following Inpatient Psychiatric Discharge,85.9,07/01/2021,06/30/2023,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),0,4,2,2,07/01/2021,06/30/2023,Influenza immunization (IPFQR-IMM-2),38,10/01/2023,03/31/2024
MI,Hours of physical-restraint use,0.35,6922.4,814989,Hours of seclusion use,0.20,3837.97,814989,Screening for metabolic disorders (SMD),79,Alcohol use brief intervention provided or offered,57,68,Alcohol and other drug use disorder treatment provided or offered at discharge,62,44,Tobacco use treatment provided or offered at discharge,57,22,Transition record with specified elements received by discharged patients (TR1),53,01/01/2023,12/31/2023,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,62.5,37.7,07/01/2022,06/30/2023,Medication Continuation Following Inpatient Psychiatric Discharge,87.2,07/01/2021,06/30/2023,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),1,47,2,5,07/01/2021,06/30/2023,Influenza immunization (IPFQR-IMM-2),79,10/01/2023,03/31/2024
MN,Hours of physical-restraint use,2.34,11211.95,199219,Hours of seclusion use,3.01,14376.23,199219,Screening for metabolic disorders (SMD),86,Alcohol use brief intervention provided or offered,59,75,Alcohol and other drug use disorder treatment provided or offered at discharge,61,47,Tobacco use treatment provided or offered at discharge,47,4,Transition record with specified elements received by discharged patients (TR1),64,01/01/2023,12/31/2023,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,73.8,39.1,07/01/2022,06/30/2023,Medication Continuation Following Inpatient Psychiatric Discharge,91.2,07/01/2021,06/30/2023,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),0,14,5,6,07/01/2021,06/30/2023,Influenza immunization (IPFQR-IMM-2),74,10/01/2023,03/31/2024
MO,Hours of physical-restraint use,0.07,1396.89,823678,Hours of seclusion use,0.11,2244.46,823678,Screening for metabolic disorders (SMD),78,Alcohol use brief intervention provided or offered,65,79,Alcohol and other drug use disorder treatment provided or offered at discharge,72,60,Tobacco use treatment provided or offered at discharge,57,12,Transition record with specified elements received by discharged patients (TR1),52,01/01/2023,12/31/2023,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,56.4,30.7,07/01/2022,06/30/2023,Medication Continuation Following Inpatient Psychiatric Discharge,79.9,07/01/2021,06/30/2023,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),0,26,2,8,07/01/2021,06/30/2023,Influenza immunization (IPFQR-IMM-2),77,10/01/2023,03/31/2024
MS,Hours of physical-restraint use,0.64,4488.3,291696,Hours of seclusion use,0.19,1335.67,291696,Screening for metabolic disorders (SMD),89,Alcohol use brief intervention provided or offered,72,92,Alcohol and other drug use disorder treatment provided or offered at discharge,65,60,Tobacco use treatment provided or offered at discharge,57,8,Transition record with specified elements received by discharged patients (TR1),73,01/01/2023,12/31/2023,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,46.6,23.5,07/01/2022,06/30/2023,Medication Continuation Following Inpatient Psychiatric Discharge,76.9,07/01/2021,06/30/2023,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),5,31,1,1,07/01/2021,06/30/2023,Influenza immunization (IPFQR-IMM-2),79,10/01/2023,03/31/2024
