"Facility ID","Facility Name","Hospital Type","Address","City/Town","State","ZIP Code","County/Parish","Measure ID","Measure Description","Total Cases","Performance Category","Rate","Interval Lower Limit","Interval Upper Limit","Footnote","Start Date","End Date"
220162,DANA-FARBER CANCER INSTITUTE,Acute Care Hospitals,450 BROOKLINE AVENUE,BOSTON,MA,02115,SUFFOLK,PCH-31,Emergency Department (ED) Visits for Patients Receiving Outpatient Chemotherapy,4719,No Different than the National Rate,5.6,4.7,6.4,,07/01/2023,06/30/2024
220162,DANA-FARBER CANCER INSTITUTE,Acute Care Hospitals,450 BROOKLINE AVENUE,BOSTON,MA,02115,SUFFOLK,PCH-36,30-Day Unplanned Readmission for Cancer Patients,335,No Different than the National Rate,21.3,17.6,25.0,,10/01/2022,09/30/2023
220162,DANA-FARBER CANCER INSTITUTE,Acute Care Hospitals,450 BROOKLINE AVENUE,BOSTON,MA,02115,SUFFOLK,PCH-37,Surgical treatment complications for localized prostate cancer,Not Available,Not Applicable,Not Available,Not Applicable,Not Applicable,5,07/01/2022,06/30/2023
330154,MEMORIAL HOSPITAL FOR CANCER AND ALLIED DISEASES,Acute Care Hospitals,1275 YORK AVENUE,NEW YORK,NY,10021,NEW YORK,PCH-30,Admissions for Patients Receiving Outpatient Chemotherapy,8991,No Different than the National Rate,13.2,11.8,14.8,,07/01/2023,06/30/2024
330154,MEMORIAL HOSPITAL FOR CANCER AND ALLIED DISEASES,Acute Care Hospitals,1275 YORK AVENUE,NEW YORK,NY,10021,NEW YORK,PCH-31,Emergency Department (ED) Visits for Patients Receiving Outpatient Chemotherapy,8991,No Different than the National Rate,5.2,4.5,6.1,,07/01/2023,06/30/2024
330154,MEMORIAL HOSPITAL FOR CANCER AND ALLIED DISEASES,Acute Care Hospitals,1275 YORK AVENUE,NEW YORK,NY,10021,NEW YORK,PCH-36,30-Day Unplanned Readmission for Cancer Patients,4593,No Different than the National Rate,20.4,19.3,21.6,,10/01/2022,09/30/2023
330154,MEMORIAL HOSPITAL FOR CANCER AND ALLIED DISEASES,Acute Care Hospitals,1275 YORK AVENUE,NEW YORK,NY,10021,NEW YORK,PCH-37,Surgical treatment complications for localized prostate cancer,61,Not Applicable,58.9,Not Applicable,Not Applicable,,07/01/2022,06/30/2023
330354,ROSWELL PARK CANCER INSTITUTE,Acute Care Hospitals,ELM AND CARLTON STREETS,BUFFALO,NY,14203,ERIE,PCH-30,Admissions for Patients Receiving Outpatient Chemotherapy,826,No Different than the National Rate,12.7,10.5,14.7,,07/01/2023,06/30/2024
330354,ROSWELL PARK CANCER INSTITUTE,Acute Care Hospitals,ELM AND CARLTON STREETS,BUFFALO,NY,14203,ERIE,PCH-31,Emergency Department (ED) Visits for Patients Receiving Outpatient Chemotherapy,826,No Different than the National Rate,5.0,4.0,6.1,,07/01/2023,06/30/2024
330354,ROSWELL PARK CANCER INSTITUTE,Acute Care Hospitals,ELM AND CARLTON STREETS,BUFFALO,NY,14203,ERIE,PCH-36,30-Day Unplanned Readmission for Cancer Patients,741,Better than the National Rate,12.6,9.7,15.6,,10/01/2022,09/30/2023
