"Year","Avg ASC-1 Nat Rate*","Median ASC-1 Nat Rate*","Avg ASC-2 Nat Rate*","Median ASC-2 Nat Rate*","Avg ASC-3 Nat Rate*","Median ASC-3 Nat Rate*","Avg ASC-4 Nat Rate*","Median ASC-4 Nat Rate*","Avg ASC-9 Nat Rate*","Median ASC-9 Nat Rate*","Avg ASC-11 Nat Rate*","Median ASC-11 Nat Rate*","ASC-12 Nat Rate","ASC-12 Better","ASC-12 No Different","ASC-12 Worse","ASC-12 Too Small","Avg ASC-13 Nat Rate*","Median ASC-13 Nat Rate*","Avg ASC-14 Nat Rate*","Median ASC-14 Nat Rate*","ASC-17 Nat Rate","ASC-17 Better","ASC-17 No Different","ASC-17 Worse","ASC-17 Too Small","ASC-18 Nat Rate","ASC-18 Better","ASC-18 No Different","ASC-18 Worse","ASC-18 Too Small","ASC-19 Nat Rate","ASC-19 Better","ASC-19 No Different","ASC-19 Worse","ASC-19 Too Small","ASC-20 Nat Rate*"
2023,0.00,0.00,0.02,0.00,0.06,0.00,0.10,0.07,78.05,91.39,90.52,100.00,9.90,16,"1,971",14,180,88.01,100.00,0.32,0.22,2.30,1,"1,812",4,"1,259",5.20,1,580,9,519,1.00,6,"1,428",6,"2,133",N/A (5)
2024_Q3,N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),25.00
